KEY,EN,ES
demo_title,SheIsRaisa,SheIsRaisa
gui_title,MichiTube,MichiTube

title_error_saving,Save error,Error de guardado
header_error_saving,It isn't possible to save this model at this time.,No es posible guardar este modelo en este momento.
content_error_saving,The VTuber model doesn't have the necessary features to be saved. (Body/Eyes/Mouth/Keyboard/Mouse),El modelo VTuber no cuenta con las características necesarias para ser guardado. (Cuerpo/Ojos/Boca/Teclado/Ratón)
title_error_loading,Load error,Error de cargado
header_error_loading,It isn't possible to find/read this file.,No es posible encontrar/leer este modelo en este momento.
content_error_loading,The VTuber model file couldn't be found or read,El archivo del modelo VTuber no puede ser encontrado o leído

button_start,Start Vtuber,Iniciar Vtuber
button_edit,Edit Vtuber,Editar Vtuber

chooser_img,Choose an image,Escoge una imagen
chooser_svs,Choose a VTuber model save file,Escoge un archivo de guardado del modelo VTuber
chooser_dir,Choose a default directory,Escoge un directorio predeterminado
filechooser_open,
filechooser_save,
button_cancel,Cancel,Cancelar
button_save,Save,Guardar
button_open,Open,Abrir
button_update,Update,Actualizar
button_help,Help,Ayuda
tooltip_open,Open selected file,Abrir archivo seleccionado
tooltip_save,Save file,Guardar archivo
tooltip_cancel,Cancel,Cancelar
tooltip_update,Update directory listing,Actualizar listado
tooltip_help,Help,Ayuda
label_filename,File name,Nombre del archivo
label_filetype,Files of type:,Tipo del archivo:
label_lookin,Look in:,Buscar en:
tooltip_upfolder,Up One Level,Subir un nivel
tooltip_newfolder,Create New Folder,Crear nueva carpeta
tooltip_home,Desktop,Escritorio
tooltip_listview,List view,Vista de lista
tooltip_detailsview,Details view,Vista detallada
error_rename,Rename error,Error al renombrar
error_filerename,Cannot rename file,No se pudo renombrar
error_newdir,Error creating new folder,Error al crear la carpeta

menu_start,▶ Start,▶ Iniciar
menu_start_vtuber,Start VTuber,Iniciar VTuber
menu_file,Files,Archivos
menu_file_dir,Choose default directory,Escoger directorio predeterminado
menu_file_load,Load VTuber,Cargar VTuber
menu_file_save,Save VTuber,Guardar VTuber
menu_file_saveh,As Hardlink,Como archivo
menu_file_saves,As Softlink,Como enlace

menu_language,🌐 Language aあ,🌐 Idioma aあ


button_ok,Done,Aceptar
button_cancel,Cancel,Cancelar

label_height,Height,Altura
label_width,Width,Anchura
label_location,Initial location,Ubicación inicial

title_handinput,Hands inputs,Entradas de manos
label_mouse,Mouse,Ratón

title_microphone,Microphone settings,Configuración del micrófono
label_microphone_channels,Channel(s),Canal(es)
label_microphone_channel_1,Mono,Mono
label_microphone_channel_2,Stereo,Estéreo
label_microphone_ups,Updates:,Actualizaciones:
label_microphone_sensitivity,Sensitivity,Sensibilidad

title_fps,FPS settings,Configuración de FPS
label_fps,Frames per second:,Cuadros por segundo:


button_select_image,Select image,Seleccionar imagen
button_select_color,Select color,Seleccionar color

button_background,Background,Fondo
label_background_cimage,Use background image,Usar imagen de fondo
checkbox_background_image,Background image,Imagen de fondo
tooltip_background_cimage,Use or not use an image for the background,Usa o no una imagen para el fondo
title_background_image,Use an image (for background),Usar una imagen (para el fondo)
label_background_image,*The chosen image will be used as the VTuber's background. That means it will be the first to be drawn. If none is selected then there will be not background.,*La imagen seleccionada se usará como fondo para el VTuber. Eso significa que será la primera en dibujarse. Si no se selecciona ninguno entonces no habrá fondo.
tooltip_background_bimage,Select a background image,Selecciona una imagen de fondo
title_background_color,Use a color,Usar un color
checkbox_background_color,Background color,Color del fondo
tooltip_background_ccolor,Use or not use a color for the background,Usar o no un color para el fondo
label_background_color,*The chosen color will be used as the VTuber's background. That means it gets painted first. If none is selected then there will be not background.,*El color seleccionado se usará como fondo para el VTuber. Eso significa que es lo primero en pintarse. Si no se selecciona ninguno entonces no habrá fondo.
tooltip_background_bcolor,Select a background color,Selecciona un color de fondo

button_body,VTuber's body, Cuerpo del VTuber
title_body_image,Use an image (for body),Usar una imágen (para el cuerpo)
label_body_image,*The chosen image will be used as the VTuber's body. It will be the second image to be drawn. An image must be selected.,*La imagen seleccionada se usará como el cuerpo del VTuber. Será la segunda imagen en dibujarse. Se debe seleccionar una imagen.

button_eyes,VTuber's eyes,Ojos del VTuber
title_eyes,Use an Image (for eyes),Usar una imágen (para los ojos)
label_eyes,*The chosen image will be used as the VTuber's eyes. It will be the third image to be drawn. An image must be selected.,*La imagen seleccionada se usará como los ojos del VTuber. Será la tercera imagen en dibujarse. Se debe seleccionar una imagen.
title_blink,Use an Image (for blinking),Usar una imágen (para el parpadeo)
checkbox_blink,Use blinking,Usar parpadeo
tooltip_blink,Use or not use an image to blink,Usar o no una imagen para el parpadeo
label_blink_every,Time to blink:,Tiempo para parpadear:
label_blink_time,Time blinking:,Tiempo parpadeando:
